Platform,Controller,Trajectory,Modifiers,Position_RMSE_m,Comp_Time_ms,trajectory_key,trajectory_label,case_name,controllers,nr_profile_requested,ff_requested,results_dir,summary_csv,status,controller_key,comparison_label,trajectory_display
SIM,NR Enhanced,CIRCLE_HORIZONTAL,workshop+noff,0.2600706417490502,0.6389785371097331,circle_horz,Circle Horizontal,nr_workshop_noff,newton_raphson_enhanced,workshop,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_noff/analysis/summary.csv,completed,newton_raphson_enhanced,NR Enhanced workshop noff,Circle Horizontal
SIM,NR Standard,CIRCLE_HORIZONTAL,workshop+noff,0.2639590469250693,0.3242460780318652,circle_horz,Circle Horizontal,nr_workshop_noff,nr_diff_flat,workshop,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_noff/analysis/summary.csv,completed,newton_raphson,Standard NR workshop noff,Circle Horizontal
SIM,NR Diff-Flat,CIRCLE_HORIZONTAL,workshop+ff,0.3144306058461222,0.7507427533467123,circle_horz,Circle Horizontal,nr_workshop_ff,newton_raphson,workshop,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_ff/analysis/summary.csv,completed,nr_diff_flat,NR Diff-Flat workshop ff,Circle Horizontal
SIM,NR Enhanced,CIRCLE_HORIZONTAL,workshop+ff,0.2816862152790058,0.938448329899886,circle_horz,Circle Horizontal,nr_workshop_ff,newton_raphson_enhanced,workshop,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_ff/analysis/summary.csv,completed,newton_raphson_enhanced,NR Enhanced workshop ff,Circle Horizontal
SIM,NR Standard,CIRCLE_HORIZONTAL,workshop+ff,0.2807854376659061,0.7181335615631198,circle_horz,Circle Horizontal,nr_workshop_ff,nr_diff_flat,workshop,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nr_workshop_ff/analysis/summary.csv,completed,newton_raphson,Standard NR workshop ff,Circle Horizontal
SIM,NMPC,CIRCLE_HORIZONTAL,noff,0.1054398371943235,1.8365160624185748,circle_horz,Circle Horizontal,nmpc_noff,nmpc,baseline,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nmpc_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nmpc_noff/analysis/summary.csv,completed,nmpc,NMPC noff,Circle Horizontal
SIM,NMPC,CIRCLE_HORIZONTAL,ff,0.1026707641785221,1.7769551277160156,circle_horz,Circle Horizontal,nmpc_ff,nmpc,baseline,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nmpc_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_horz/nmpc_ff/analysis/summary.csv,completed,nmpc,NMPC ff,Circle Horizontal
SIM,NR Diff-Flat,CIRCLE_VERTICAL,baseline+noff,0.310903399143402,0.7595896322192474,circle_vert,Circle Vertical,nr_baseline_noff,newton_raphson,baseline,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_noff/analysis/summary.csv,completed,nr_diff_flat,NR Diff-Flat baseline noff,Circle Vertical
SIM,NR Enhanced,CIRCLE_VERTICAL,baseline+noff,0.2718028867974892,0.5950122373956815,circle_vert,Circle Vertical,nr_baseline_noff,newton_raphson_enhanced,baseline,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_noff/analysis/summary.csv,completed,newton_raphson_enhanced,NR Enhanced baseline noff,Circle Vertical
SIM,NR Standard,CIRCLE_VERTICAL,baseline+noff,0.2615160798286084,0.2648463616003863,circle_vert,Circle Vertical,nr_baseline_noff,nr_diff_flat,baseline,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_noff/analysis/summary.csv,completed,newton_raphson,Standard NR baseline noff,Circle Vertical
SIM,NR Diff-Flat,CIRCLE_VERTICAL,baseline+ff,0.3414907938039783,0.7476902008056137,circle_vert,Circle Vertical,nr_baseline_ff,newton_raphson,baseline,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_ff/analysis/summary.csv,completed,nr_diff_flat,NR Diff-Flat baseline ff,Circle Vertical
SIM,NR Enhanced,CIRCLE_VERTICAL,baseline+ff,0.2702754976451607,0.8598051740971232,circle_vert,Circle Vertical,nr_baseline_ff,newton_raphson_enhanced,baseline,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_ff/analysis/summary.csv,completed,newton_raphson_enhanced,NR Enhanced baseline ff,Circle Vertical
SIM,NR Standard,CIRCLE_VERTICAL,baseline+ff,0.2606580463229286,0.7167710553879237,circle_vert,Circle Vertical,nr_baseline_ff,nr_diff_flat,baseline,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_baseline_ff/analysis/summary.csv,completed,newton_raphson,Standard NR baseline ff,Circle Vertical
SIM,NR Diff-Flat,CIRCLE_VERTICAL,workshop+noff,0.1047394055221959,0.7571113548150702,circle_vert,Circle Vertical,nr_workshop_noff,newton_raphson,workshop,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_workshop_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_workshop_noff/analysis/summary.csv,completed,nr_diff_flat,NR Diff-Flat workshop noff,Circle Vertical
SIM,NR Enhanced,CIRCLE_VERTICAL,workshop+noff,0.1781824907404959,0.6657874703805474,circle_vert,Circle Vertical,nr_workshop_noff,newton_raphson_enhanced,workshop,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_workshop_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_workshop_noff/analysis/summary.csv,completed,newton_raphson_enhanced,NR Enhanced workshop noff,Circle Vertical
SIM,NR Standard,CIRCLE_VERTICAL,workshop+noff,0.1922654650147476,0.3188382024349883,circle_vert,Circle Vertical,nr_workshop_noff,nr_diff_flat,workshop,False,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_workshop_noff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_workshop_noff/analysis/summary.csv,completed,newton_raphson,Standard NR workshop noff,Circle Vertical
SIM,NR Diff-Flat,CIRCLE_VERTICAL,workshop+ff,0.1199754227287979,0.7564036051431797,circle_vert,Circle Vertical,nr_workshop_ff,newton_raphson,workshop,True,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_workshop_ff,/home/egmc/ws_contraction_px4/src/data_analysis/results/pre_fig8_matrix_20260402/main_matrix/circle_vert/nr_workshop_ff/analysis/summary.csv,completed,nr_diff_flat,NR Diff-Flat workshop ff,Circle Vertical
